course_code,recovered_name,credit_units
BGP3201,TEAM WORK DESIGN PROJECT,4
BGT2204,GEO TECHNICAL ENGINEERING I,4
BGT3104,GEO TECHNICAL ENGINEERING II,4
BHC1208,HISTORY AND CULTURE HERITAGE,NULL
BHI 1102,THEMES IN EAST AFRICAN HISTORY  FROM 1500 - 1871,3
BHI2206,IMPERIALISM IN THE THIRD WORLD FROM MERCANTILE ERA,3
BHII2207,HISTORY OF POLITICAL THOUGHT AND IDEAS,3
BHL,HUMAN LEARNING/GROWTH AND COGNITION/DEVELOPMENT,3
BHW3105,HIGHWAY ENGINEERING,4
BHY3101,HYDROLOGY I,4
BIFA1109,INTRODUCTION TEXTILE AND TECHNOLOGY ,4
BIFA2114,WEAVING AND STUDIO TECHNOLOGY,3
BIFA2301,RESEARCH METHODS,3
BIFA3106,PRINTMAKING ,3
BIFA3117,FABRIC DESIGN AND STUDIO TECHNOLOGY,3
BIS3100,MODELING AND SIMULATION,3
BIS3103,DATABASE MANAGEMENT SYSTEMS,3
BIT 1101B,COMPUTER LITERACY,2
BIT 1207,CLASSIFICATION (THEORY AND PRACTICE),4
BIT 1208,OBJECT ORIENTED PROGRAMMING (ADVANCED JAVA),3
BIT210,LINUX,3
BIT2112,MOBILE APPLICATION,3
BIT2208,JAVA SCRIPT,3
BIT3200,BUSINESS INTELLIGENCE AND DATA WAREHOUSING,3
BKE1101,KISWAHILI ACQUISITION MASTERY,NULL
BKL1201B,KISWAHILI ACQUISITION AND LANGUAGE MASTERY,3
BKL1202B,HISTOTICAL DEVELOPMENT OF KISWAHILI,3
BKL1203B,SHORT STORY IN KISWAHILI LITERATURE,3
BKL1301B,KISWAHILI GENERAL WRITING AND EDITING,3
BKL1302B,CLASSICAL AND CONTEMPORARY POETRY,3
BKL1303B,KISWAHILI STRUCTURE,3
BKL2101B,CURRENT DEVELOPMENT OF KISWAHILI,3
BKL2102B,KISWAHILI LANGUAGE DEVELPOMENT(READING AND WRTING SKILLS),3
BKL2103B,KISWAHILI PHONETICS,3
BKL2104B,STANDARDIZATION OF KISWAHILI,3
BKL2201B,METHODOLOGY OF TEACHING KISWAHILI LANGUAGE,3
BKL2202B,CONTEMPORARY KISWAHILI NOVEL AND PLAY,3
BKL2203B,KISWAHILI POLICY AND PLANNING,3
BKL2204B,KISWAHILI ORTHOGRAPHY ABD LEXICOGRAPHY,3
BKL2301B,KISWAHILI ORAL LITERATURE,3
BKL2302B,KISWAHILI POETRY,3
BKL3101B,SINTAKSIA (KISWAHILI SYNTAX),3
BKL3102B,CONTEMPORARY KISWAHILI LITERATURE,3
BKL3201B,THEORIES OF LITERARY CRITICISM,3
BKL3202B,KISWAHILI MORPHOLOGY,3
BKL3301B,KISWAHILI SOCIOLINGUISTICS,3
BKL3302B,KISWAHILI TRANSLATION,3
BKL3303B,KISWAHILI SYNTAX,3
BLIS1105,BASIC ACCOUNTING,3
BLIS2108,COMMUNITY INFORMATION SYSTEMS,3
BLL1103,INTRODUCTION TO SEGMENTAL PHONOLOGY,3
BLL1105,PRINCIPLES OF TRANSILATION  IN LUGANDA ,3
BLLI3203,RESEARCH PROJECT IN LUGANDA,2
BLS 3225,DISSERTATION WRITING ,3
BLS2106,DOCUMENTATION WORKS AND SERVICES,3
BLS2107,EDITING,3
BLS2111,DOCUMENT CLASSIFICATION I,3
BLS2112,DOCUMENT CATALOUGING I,3
BLS2113,ANALYSIS OF INFORMATION SYSTEMS,3
BLS2116,DOCUMENTATION WORK AND SERVICES,3
BLS2117,EDITING,3
BLS2201,INTRODUCTION TO PHYSCOLOGY,3
BLS2206,ENTREPRENEURSHIP ,4
BLS3123,PRESERVATION AND CONSERVATION OF RESOURCES,4
BLS3124,LIBRARY OPERATIONS AND ROUTINE,3
BLTI1101,INTRODUCTION TO LITERATURE,2
BLTI1201,ORAL LITERATURE,2
BLTI1303,INTRODUCTION TO POETRY,3
BLTI2103,AFRICAN POETRY,3
BM1101D,PRINCIPLES OF ACCOUNTING,3
BM2202,BUSINESS ETHICS,3
BMA1104,EDUCATIONAL MANAGEMENT AND ADMINISTRATION ,3
BMA12301,ESSETIALS OF EDUCATIONAL MANAGEMENT AND ADMINISTRATION,3
BMAI1105,EDUCATIONAL MANAGEMENT AND ADMINISTRATION,3
BMC 1204,WRITING FOR THE MEDIA,3
BMC 2110,PUBLIC INFORMATION PROGRAMME,3
BMC1210,INTRONTRODUCTION TO PUBLIC RELATIONS,3
BMC2210,INTERNSHIP,3
BMC3212,PUBLIC RELATIONS PRODUCTION AND MEDIA PRACTICE,3
BME210,Probability Theory,3
BME2105,CLASSICAL MECHANICS,3
BME2203B,REAL ANALYSIS II,3
BME2211,CLASSICAL MECHANICS 1,3
BME2212,VECTOR ANALYSIS,3
BME3208,CLASSICAL MECHANICS 11,3
BME3301,BUSINESS MATHEMATICS,3
BME3304B,BUSINESS MATHEMATICS,3
BMEI1101,ELEMENTS OF SETS AND LOGIC,2
BMEI1102,DEFFERENTIAL CALCULUS,2
BMEI1105,LINEAR ALGEBRA I,2
BMEI1201,CALCULUS II,2
BMEI1202,LINEAR ALGEBRA II,2
BMEI1203,LINEAR PROGRAMMING,2
BMEI1204,INTEGRA CALCULUS ,2
BMEI2107,REAL ANALYSIS I,2
BMEI2205,INTRODUCTION TO EDUCATIONAL MEASUREMENT AND EVALUATION,3
BMEI2209,Complex Numbers,3
BMEI2303,ANALYSIS AND EVALUATION OF UPPER PRIMARY MATHEMATICS,2
BMEI2307,PRIMARY SOCCER ,3
BMEI303,REAL ANALYSIS I,3
BMEI3107,FUNCTIONAL ANALYSIS,3
BMF 2205,INTERNAL CONTROLS IN MICROFINANCE,3
BMM,ABASIC ACCOUNTING,3
BMM1210,BUSINESS LAW,3
BMM2119,BUSINESS LAW,3
BMM2210,BUSINESS RESEARCH METHODS ,3
BMM3101,STRATEGIC MANAGEMENT ,3
BMUI2306,ASSESSEMENT OF IN PRIMARY PERFORMING SYLLABUS,2
BMUI3312,WESTERN MUSIC TECHNOLOGY ,3
BNUI1102,INTRODUCTION TO MUSIC APPRCIATION AND LITERATURE,2
BPA 1206,PUBLIC FINANCIAL MANAGEMENT,3
BPA 3202,HUMAN RIGHTS AND DEMOCRACY,3
BPA2108,FUNDAMENTALS OF POLITICAL SCIENCE,3
BPE2103,PRINCIPLES OF ELECTRONICS ENGINEERING,4
BPE3206,PUBLIC HEALTH AND ENVIRONMENTAL ENGINEERING ,4
BPE4102,PUBLIC HEALTH AND ENVIRONMENTAL ENGINEERING II,4
BPEI1102,HISTORY AND PHILOSOPY OF PE AND SPORTS,1
BPEI1103,PE/SPORTS ADMINISTRATION,1
BPEI1104,ATHLETICS I,1
BPEI1105,SOCCER I,1
BPEI1106,NETBALL I,1
BPEI1107,SWIMMING I,1
BPEI1201,INTRODUCTION TO SPORTS PHSYCHOLOGY,1
BPEI1202,INTRODUCTION TO SPORTS SOCIOLOGY,1
BPEI1204,VOLLEYBALL II,1
BPEI1205,BASKETBALL II,1
BPEI1206,GAMES IN PRIMARY AND LOWER SECONDARY SCHOOLS,1
BPEI2205,MEASUREMENT, ASSESSMENT AND AVALUATION IN P.E/SPORTS,2
BPEM3206,RESEARCH PROJECT REPORT,3
BPLM3107,INTERMEDIATE MICROECONOMICS,3
BPLM3111,LABOUR ECONOMICS,3
BPM4103,PROJECT MANAGEMENT,4
BPPM2101,PROJECT PLANNING AND MANAGEMENT,3
BPRM1103,COMPUTER LITERACY,3
BPRM2107,PUBLIC RELATIONS PUBLISHING AND EDIT,3
BPS1101,HUMAN BIOLOGY,2
BPS1102,PLANT ANATOMY,2
BPS1104,DISCRIPTIVE STATISTICS,2
BPS1105,HISTORY AND PHILOSOPHY OF INTERGRATED SCIENCE,2
BPS1106,ANALYSIS AND EVALUATION OF SCIENCE CURRICULUM,1
BPS1204,PHYSICAL PROPERTIES OF MATERIALS,3
BPSI1101,HUMAN BIOLOGY,2
BPSI1102,PLANT ANATOMY,2
BPSI1103,MATTER AND ENERGY,2
BPSI1104,DESCRIPTIVE STATISTICS,2
BPSI1105,HISTORY AND PHILOSOPHY OF INTEGRATED SCIENCE,2
BPSI1106,ANALYSIS AND EVALUATION OF PRIMARY SCIENCE CURRICULUM (P 1 - P 2),1
BPSI1201,ANIMAL PHYSIOLOGY,2
BPSI1202,ACIDS, BASES AND ALKALIS,2
BPSI1203,ATOMIC STRUCTURE AND STATES OF MATTER,2
BPSI1204,PHYSICAL PROPERTIES OF MATERIALS,3
BPSI1205,RAW MATERIALS AND CHEMICAL PRODUCTS,2
BPSI1206,INTRODUCTION TO MACHINES,2
BPSI1207,HOW CHILDREN LEARN SCIENCE,1
BPSI1208,SCIENCE IN OTHER SUBJECTS,1
BPSI1209,Environmental Science,3
BPSI1210,Instructional Modes and Resources in Primary Science Education,3
BPSI1211,Analysis and Evaluation of Primary Curriculum P 3 - P 4,3
BPSI1304,ENVIRONMENTAL PRIMARY SCIENCE,2
BPSI1306,INSTRUCTIONAL MODES AND RESOURCES IN PRIMARY SCIENCE AND EDUCATION,2
BPSI2105,NUTRITION IN MAN,2
BPSI2106,THE TEACHING OF HUMAN BODY HUMAN HEALTH, POPULATION AND FAMILY LIFE,2
