regno,acadyear,semester,studyyear,progid,item_code,item,amount,session,regstatus,status
MRU2021000363,2022/2023,1,2,DTHM,52,Functional,953700,DAY,UNREGISTERED,PLANNED
MRU2021000398,2021/2022,1,1,BCOM,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2021/2022,1,1,BCOM,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2021/2022,2,1,BCOM,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2021/2022,2,1,BCOM,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2022/2023,1,2,BCOM,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2022/2023,1,2,BCOM,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2022/2023,2,2,BCOM,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2022/2023,2,2,BCOM,52,Functional,653000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2023/2024,1,3,BCOM,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2023/2024,1,3,BCOM,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2023/2024,2,3,BCOM,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000398,2023/2024,2,3,BCOM,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2021/2022,1,1,BIT,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2021/2022,1,1,BIT,52,Functional,867000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2021/2022,2,1,BIT,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2021/2022,2,1,BIT,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2022/2023,1,2,BIT,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2022/2023,1,2,BIT,52,Functional,787000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2022/2023,2,2,BIT,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2022/2023,2,2,BIT,52,Functional,853000,DAY,UNREGISTERED,PLANNED
MRU2021000413,2023/2024,1,3,BIT,1,Tuition,780000,DAY,CLEARED,PLANNED
MRU2021000413,2023/2024,1,3,BIT,52,Functional,763000,DAY,CLEARED,PLANNED
MRU2021000456,2021/2022,1,1,BIT,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000456,2021/2022,1,1,BIT,52,Functional,867000,DAY,UNREGISTERED,PLANNED
MRU2021000456,2021/2022,2,1,BIT,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000456,2021/2022,2,1,BIT,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000456,2022/2023,2,2,BIT,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000456,2022/2023,2,2,BIT,52,Functional,853000,DAY,UNREGISTERED,PLANNED
