ID	assigned_prog	course	yr	sem	course_name	lect_assigned	progs_with_students	progs_with_marks
8669	BED(S)	BGE2205	2	2	GEOGRAPHY TEACHING METHODS	NO	BAED|BEICT	BAED|BEICT|BSCEDU
8670	BED(S)	BGE2206	2	2	THE DEVELOPMENT OF MODERN GEOGRAPHY	NO	BAED|BEICT	BAED|BEICT
8853	BED(S)	BGE2206	2	2	THE DEVELOPMENT OF MODERN GEOGRAPHY	NO	BAED|BEICT	BAED|BEICT
4967	BED(S)	BGE2206	2	2	THE DEVELOPMENT OF MODERN GEOGRAPHY	NO	BAED|BEICT	BAED|BEICT
8854	BED(S)	BGE2207	2	2	APPLIED GEOMORPHOLOGY	NO	BAED	BAED|BEICT
8671	BED(S)	BGE2207	2	2	APPLIED GEOMORPHOLOGY	NO	BAED	BAED|BEICT
8673	BED(S)	BHI2203	2	2	HISTORY OF ANGLOPHONE CENTRAL AFRICA SINCE 1800	NO	BAED|BEICT	BAED|BEICT
8674	BED(S)	BHI2205	2	2	HISTORY TEACHING METHODS	NO	BAED|BEICT	BAED|BEICT
4531	BED(S)	BPS2201B	2	2	SCIENCE AND TECHNOLOGY EDUCATION	NO	BED(P)	BED(P)
4532	BED(S)	BPS2203B	2	2	THERMAL PROPERTIES OF MATTER	NO	BED(P)	BED(P)
8675	BED(S)	BSP2201	2	2	SCHOOL PRACTICE (6Weeks)	YES	BAED|BEICT|BVS	BADE|BAED|BED(ECD)|BEICT|BMC|BSCED|BVS
8855	BED(S)	BSP2201	2	2	SCHOOL PRACTICE (6Weeks)	YES	BAED|BEICT|BVS	BADE|BAED|BED(ECD)|BEICT|BMC|BSCED|BVS
8856	BED(S)	MGT2201B	2	2	HUMAN RESOURCE MANAGEMENT	NO	BAED|BBA|BCOM|BEICT|BPLM|BSM|DPA	BAED|BBA|BBC|BBM|BCOM|BEICT|BEM|BHRM|BMF|BPA|BPLM|BSAF|BSDE|BSM|DBA|DPE|DSE
8857	BED(S)	MGT2203B	2	2	PRODUCTION AND OPERATIONS MANAGEMENT	NO	BAED|BBA|BCOM|BEICT|BHRM|BPA|BSAF	BAED|BBA|BBM|BCOM|BEICT|BEM|BHRM|BPA|BSAF|BSDE
8676	BED(S)	BEF 3102	3	1	CONTEMPORARY EDUCATION SYSTEMS	NO	BAED|BEICT|BVS	BAED|BEICT|BVS
8858	BED(S)	BEF 3102	3	1	CONTEMPORARY EDUCATION SYSTEMS	NO	BAED|BEICT|BVS	BAED|BEICT|BVS
8859	BED(S)	BEM3101	3	1	INTRODUCTION TO EDUCATIONAL MEASUREMENT AND EVALUATION	NO	BEICT	BADE|BAED|BAED/A|BEICT|BEM|BSCED|BSCEDU|BVS
8677	BED(S)	BEM3101	3	1	INTRODUCTION TO EDUCATIONAL MEASUREMENT AND EVALUATION	NO	BEICT	BADE|BAED|BAED/A|BEICT|BEM|BSCED|BSCEDU|BVS
8860	BED(S)	BGE3101	3	1	AGRICULTURE AND DEVELOPMENT	NO	BAED|BEICT	BAED|BEICT|BSCEDU
8678	BED(S)	BGE3101	3	1	AGRICULTURE AND DEVELOPMENT	NO	BAED|BEICT	BAED|BEICT|BSCEDU
8679	BED(S)	BGE3103	3	1	APPLIED CLIMATOLOGY	NO	BAED	BAED|BEICT|BSCEDU
8861	BED(S)	BGE3103	3	1	APPLIED CLIMATOLOGY	NO	BAED	BAED|BEICT|BSCEDU
8862	BED(S)	BGE3105	3	1	PRINCIPLES OF RESOURCE  DEVELOPMENT	NO	BAED	BAED|BEICT
8680	BED(S)	BGE3105	3	1	PRINCIPLES OF RESOURCE  DEVELOPMENT	NO	BAED	BAED|BEICT
8681	BED(S)	BGE3107	3	1	DEVELOPMENT GEOGRAPHY OF EUROPE AND ASIA	NO	BAED|BEICT	BAED|BEICT|BIT
8863	BED(S)	BGE3107	3	1	DEVELOPMENT GEOGRAPHY OF EUROPE AND ASIA	NO	BAED|BEICT	BAED|BEICT|BIT
8683	BED(S)	BHI3109	3	1	HISTORY OF UGANDA FROM THE PRE-COLONIAL PERIOD UP TO 1900	NO	BAED|BEICT	BAED|BEICT
8864	BED(S)	MGT3101B	3	1	STRATEGIC MANAGEMENT	NO	BAED|BBA|BCOM|BEICT|BHRM|BPLM|BSAF	BAED|BBA|BBC|BBM|BCOM|BEICT|BEM|BHRM|BMF|BPA|BPLM|BSAF|BSDE|DPE
8865	BED(S)	MGT3102B	3	1	CUSTOMER CARE AND PUBLIC RELATIONS	NO	BAED|BBA|BCOM|BEICT|BHRM|BSM	BAED|BBA|BBC|BBM|BCOM|BEICT|BEM|BES|BHRM|BMF|BPA|BPLM|BSAF|BSM|DPE
2900	BED(S)	BAG3205B	3	2	LIVE STOCK PRODUCTION 	NO	BED(P)	BED(P)
8684	BED(S)	BCU3201	3	2	CURRICULUM DESIGN DEVELOPMENT AND IMPLEMENTATION	NO	BAED|BECD|BEICT|BVS	BADE|BAED|BAED/A|BEICT|BSCED|BSCEDU|BVS
8866	BED(S)	BCU3201	3	2	CURRICULUM DESIGN DEVELOPMENT AND IMPLEMENTATION	NO	BAED|BECD|BEICT|BVS	BADE|BAED|BAED/A|BEICT|BSCED|BSCEDU|BVS
8867	BED(S)	BEF3201	3	2	SPECIAL NEEDS EDUCATION	NO	BAED|BEICT|BVS	BADE|BAED|BEICT|BSCED|BSCEDU|BVS
8685	BED(S)	BEF3201	3	2	SPECIAL NEEDS EDUCATION	NO	BAED|BEICT|BVS	BADE|BAED|BEICT|BSCED|BSCEDU|BVS
8868	BED(S)	BEF3202	3	2	ECONOMICS OF EDUCATION	NO	BAED|BEICT|BVS	BAED|BEICT
8869	BED(S)	BER3206	3	2	RESEARCH REPORT	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BED(P)|BEICT|BSCED|BSCEDU|BVS
8686	BED(S)	BER3206	3	2	RESEARCH REPORT	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BED(P)|BEICT|BSCED|BSCEDU|BVS
8870	BED(S)	BGC3201	3	2	EDUCATIONAL COUNSELLING AND GUIDANCE	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BEICT|BGC|BSCED|BSCEDU|BVS
